"","treatment","name","value"
"1","0NR_65","blue",-0.0441358575393381
"2","0NR_65","green",-0.0592269977197478
"3","0NR_65","red",-0.0929275178816703
"4","0NR_65","turquoise",-0.0998284153583438
"5","0NR_65","black",0.0145903727105181
"6","0NR_65","brown",0.066416024220298
"7","0NR_65","tan",0.0775744977121334
"8","0NR_65","yellow",0.0071401603898266
"9","0NR_65","purple",0.0604768445553971
"10","0NR_65","salmon",0.0965798355916904
"11","0NR_65","greenyellow",-0.0113799189061522
"12","0NR_65","magenta",0.0218737535228414
"13","0NR_65","pink",-0.00309162467846152
"14","0NR_65","grey",-0.00886284414516476
"15","0NR_66","blue",-0.0607083283993957
"16","0NR_66","green",0.253435937642656
"17","0NR_66","red",0.0309847172237705
"18","0NR_66","turquoise",0.011041790776006
"19","0NR_66","black",-0.0525354310431536
"20","0NR_66","brown",-0.0087765413941443
"21","0NR_66","tan",0.0135747059367335
"22","0NR_66","yellow",0.0681852691139395
"23","0NR_66","purple",0.0690826469466945
"24","0NR_66","salmon",0.0102662762465293
"25","0NR_66","greenyellow",0.0161541841071425
"26","0NR_66","magenta",-0.0410255532774908
"27","0NR_66","pink",0.060395832686621
"28","0NR_66","grey",0.106500468306791
"29","0NR_67","blue",-0.112201035948108
"30","0NR_67","green",0.118267050750017
"31","0NR_67","red",-0.0481866919044847
"32","0NR_67","turquoise",-0.130488727207751
"33","0NR_67","black",-0.108641625526902
"34","0NR_67","brown",0.0354725982886424
"35","0NR_67","tan",0.0262909819892434
"36","0NR_67","yellow",0.106829377104009
"37","0NR_67","purple",0.311062091976437
"38","0NR_67","salmon",0.165003366848577
"39","0NR_67","greenyellow",0.16163251309936
"40","0NR_67","magenta",-0.00240977633837719
"41","0NR_67","pink",0.0710948853631255
"42","0NR_67","grey",0.0704769009118399
"43","0NR_68","blue",-0.0597465628648839
"44","0NR_68","green",0.0233112308768533
"45","0NR_68","red",-0.0864185511019752
"46","0NR_68","turquoise",-0.0954578614410704
"47","0NR_68","black",0.0158475315500325
"48","0NR_68","brown",0.0781154199593528
"49","0NR_68","tan",0.127290014656547
"50","0NR_68","yellow",0.0516535525145425
"51","0NR_68","purple",0.12692727137856
"52","0NR_68","salmon",0.102720791254982
"53","0NR_68","greenyellow",-0.0855103733043039
"54","0NR_68","magenta",0.0121332974561516
"55","0NR_68","pink",0.021945028863405
"56","0NR_68","grey",0.0166987310265276
"57","0TL_113","blue",0.0336074314402552
"58","0TL_113","green",-0.0448591419084421
"59","0TL_113","red",-0.0765738784535747
"60","0TL_113","turquoise",-0.0430854598640092
"61","0TL_113","black",0.0120413239117678
"62","0TL_113","brown",0.0531718081668073
"63","0TL_113","tan",0.0048468918321249
"64","0TL_113","yellow",-0.0673117733960233
"65","0TL_113","purple",-0.0443943709726184
"66","0TL_113","salmon",0.0281832879832048
"67","0TL_113","greenyellow",-0.00369692367073243
"68","0TL_113","magenta",0.0488988838736883
"69","0TL_113","pink",-0.0346653128515345
"70","0TL_113","grey",-0.0807961508634485
"71","0TL_114","blue",0.0841356245483494
"72","0TL_114","green",0.133276820729466
"73","0TL_114","red",0.0195802662965804
"74","0TL_114","turquoise",0.090984055323182
"75","0TL_114","black",-0.0232616253477805
"76","0TL_114","brown",-0.00695835938936547
"77","0TL_114","tan",-0.0528287577620397
"78","0TL_114","yellow",-0.0736828391708169
"79","0TL_114","purple",-0.0452411021743486
"80","0TL_114","salmon",-0.0425083115250579
"81","0TL_114","greenyellow",0.0784955523053256
"82","0TL_114","magenta",0.00495610406015919
"83","0TL_114","pink",-0.0304774605436173
"84","0TL_114","grey",-0.0395476890717595
"85","0TL_115","blue",-0.0113653204350437
"86","0TL_115","green",-0.0114416768975991
"87","0TL_115","red",-0.1032219587477
"88","0TL_115","turquoise",-0.0926288602933594
"89","0TL_115","black",-0.00798304777774753
"90","0TL_115","brown",0.077425049834261
"91","0TL_115","tan",0.0466733118496887
"92","0TL_115","yellow",-0.0295311098704394
"93","0TL_115","purple",0.027415430591605
"94","0TL_115","salmon",0.0804449144438778
"95","0TL_115","greenyellow",0.0371342742158984
"96","0TL_115","magenta",0.0463062567161956
"97","0TL_115","pink",-0.0109651386591323
"98","0TL_115","grey",-0.0442266387481821
"99","0TL_116","blue",-0.103150447692881
"100","0TL_116","green",-0.137677824230014
"101","0TL_116","red",-0.331643244898988
"102","0TL_116","turquoise",-0.137149536619397
"103","0TL_116","black",-0.0382716350269847
"104","0TL_116","brown",0.181451869246126
"105","0TL_116","tan",0.0623167692359276
"106","0TL_116","yellow",0.0206565269642664
"107","0TL_116","purple",-0.025833377847583
