"","MEblue","MEgreen","MEred","MEturquoise","MEblack","MEbrown","MEtan","MEyellow","MEpurple","MEsalmon","MEgreenyellow","MEmagenta","MEpink","MEgrey","treatment"
"0NR_65",-0.0441358575393381,-0.0592269977197478,-0.0929275178816703,-0.0998284153583438,0.0145903727105181,0.066416024220298,0.0775744977121334,0.0071401603898266,0.0604768445553971,0.0965798355916904,-0.0113799189061522,0.0218737535228414,-0.00309162467846152,-0.00886284414516476,"0NR_65"
"0NR_66",-0.0607083283993957,0.253435937642656,0.0309847172237705,0.011041790776006,-0.0525354310431536,-0.0087765413941443,0.0135747059367335,0.0681852691139395,0.0690826469466945,0.0102662762465293,0.0161541841071425,-0.0410255532774908,0.060395832686621,0.106500468306791,"0NR_66"
"0NR_67",-0.112201035948108,0.118267050750017,-0.0481866919044847,-0.130488727207751,-0.108641625526902,0.0354725982886424,0.0262909819892434,0.106829377104009,0.311062091976437,0.165003366848577,0.16163251309936,-0.00240977633837719,0.0710948853631255,0.0704769009118399,"0NR_67"
"0NR_68",-0.0597465628648839,0.0233112308768533,-0.0864185511019752,-0.0954578614410704,0.0158475315500325,0.0781154199593528,0.127290014656547,0.0516535525145425,0.12692727137856,0.102720791254982,-0.0855103733043039,0.0121332974561516,0.021945028863405,0.0166987310265276,"0NR_68"
"0TL_113",0.0336074314402552,-0.0448591419084421,-0.0765738784535747,-0.0430854598640092,0.0120413239117678,0.0531718081668073,0.0048468918321249,-0.0673117733960233,-0.0443943709726184,0.0281832879832048,-0.00369692367073243,0.0488988838736883,-0.0346653128515345,-0.0807961508634485,"0TL_113"
"0TL_114",0.0841356245483494,0.133276820729466,0.0195802662965804,0.090984055323182,-0.0232616253477805,-0.00695835938936547,-0.0528287577620397,-0.0736828391708169,-0.0452411021743486,-0.0425083115250579,0.0784955523053256,0.00495610406015919,-0.0304774605436173,-0.0395476890717595,"0TL_114"
"0TL_115",-0.0113653204350437,-0.0114416768975991,-0.1032219587477,-0.0926288602933594,-0.00798304777774753,0.077425049834261,0.0466733118496887,-0.0295311098704394,0.027415430591605,0.0804449144438778,0.0371342742158984,0.0463062567161956,-0.0109651386591323,-0.0442266387481821,"0TL_115"
"0TL_116",-0.103150447692881,-0.137677824230014,-0.331643244898988,-0.137149536619397,-0.0382716350269847,0.181451869246126,0.0623167692359276,0.0206565269642664,-0.025833377847583,0.084565600249173,-0.20904405317273,-0.878352905425241,-0.850187091541739,-0.44115892889765,"0TL_116"
"CZRJR_57",0.0580220590773332,-0.0315266595304313,0.0429214794614015,0.051845696969814,-0.0129308740119215,-0.0451978976400689,-0.105101913912678,-0.0460256428742786,-0.00544894099642744,-0.0288397122443907,0.0548519867215207,0.0158792429047608,-0.0068891771571004,0.0278650117671862,"CZRJR_57"
"CZRJR_58",0.0685882259908003,0.0489902913670928,0.0542867543493295,0.0945079173922118,-0.0558677148630821,-0.0304611410896864,-0.0666057820175087,-0.0375545243677163,-0.0363864892381897,-0.0350861929890836,-0.0318502414184827,-0.013098951619218,-0.00780576707599857,0.0240307083095882,"CZRJR_58"
"CZRJR_59",-0.0173307983979659,-0.0523012741418448,-0.0523048647411002,-0.0786374627122049,-0.00429879725894804,0.0300809574556234,-0.0171735732258529,-0.00408003978864249,0.04569201796318,0.0390290057953747,0.111839069988529,0.0388580363949661,0.00787112299293159,0.0315607424904958,"CZRJR_59"
"CZRJR_60",0.0618681794777314,-0.00179784911316836,0.0495764445213505,0.0957212543419549,-0.0706446008532889,-0.0122645835580775,-0.0112765427006818,-0.0176580786179872,-0.0191738290515747,-0.0326379069708873,0.0101509510225798,-0.0274798937103105,-0.00733516649884501,0.0356808881285532,"CZRJR_60"
"DF2A_13",0.0925259950532106,-0.0475282090066612,0.0150939429800991,0.0840313492346153,0.123892954536909,-0.018768373785801,-0.0464055110426491,-0.08337433273467,-0.10708933004884,-0.104293871255684,0.0723686579964469,0.00575071981512197,-0.0401562704371484,-0.00405340557283633,"DF2A_13"
"DF2A_14",-0.00354457203257271,0.208406967237585,-0.00676726672586463,-0.00793879761041687,0.0458876379581482,0.0190424467918849,0.0042569727517359,-0.0170292527472709,-0.0427512139265783,-0.0327399920592539,-0.0152094250232862,-0.012233885941483,0.00359827756704733,0.0383683035196767,"DF2A_14"
"DF2A_15",-0.0264951103972643,0.204744224824976,0.0421686073557269,0.0107699417321217,-0.097645171406793,-0.0199695005801762,-0.0397681312815169,0.0410074817029017,0.241977428099998,0.0558634317224554,0.00403666239497331,-0.0257130882250357,0.0480422446927508,0.0392201883138983,"DF2A_15"
"DF2A_16",0.140494563549273,0.123593461548365,0.0812148406715877,0.156242026548461,0.024694633170352,-0.0465578697383686,-0.109858726388601,-0.11379319864124,-0.0237161819281472,-0.108111060442494,-0.0907610710224873,-0.0119622745378855,-0.0441963801452965,-0.0850069322261343,"DF2A_16"
"DF7X_53",0.0982060502528089,0.0121451857504212,0.0704608147626511,0.120895360938106,-0.0594271413626228,-0.0291743552158664,-0.0435972731347566,-0.0632761242322468,-0.131867779004115,-0.0076994372493928,-0.045822067404905,-0.0133017070152605,-0.0437309702831907,-0.00735323240224406,"DF7X_53"
"DF7X_54",0.0871831675285418,0.0424915503844479,0.102866190416729,0.165609645738593,-0.0976861352212147,-0.046018880121744,-0.0357964123990625,-0.0105752235389282,-0.110902070069273,-0.0274722253244061,-0.0436498266633542,-0.0682971157491923,-0.00987317870379337,0.0497674059329241,"DF7X_54"
"DF7X_55",0.020531796247744,-0.00431110883432562,0.00935448704585882,0.0445142067255714,-0.0714498281431784,0.010884581030039,0.0240066664895104,0.00378996017224388,-0.0535743901360367,0.0455392478067273,0.0509666352708938,-0.0247681676354647,-0.00751952269484058,0.0258919397731641,"DF7X_55"
"DF7X_56",-0.0310766278303984,-0.0704018673918231,-0.0504751050925851,-0.0475340673498921,-0.0543705135982928,0.0819952485585077,0.128893673837321,0.0508153679313366,-0.0711800840467777,0.128282009206329,-0.0555047255451214,0.0149254134028453,0.00375275466673794,-0.00504308518349835,"DF7X_56"
"DF8J_109",0.0422272593223048,-0.0299225153175002,-0.0390424370654193,0.00633334355454992,-0.0124002218385745,0.046710643740242,-0.000376261153487655,-0.0396254241293056,-0.0114064758462453,0.0375238350994681,0.0579212055875604,0.0327107613890261,-0.0281464893295126,-0.0093184227080868,"DF8J_109"
"DF8J_110",0.0773321530928479,0.166224549508196,0.0560872819658999,0.0972803542619727,-0.0225553861498101,-0.0337256399171133,-0.0750949486420665,-0.0544975171291384,-0.0612250773431143,-0.0497146373303372,0.193607914982641,-0.00248623739153141,-0.00666077931697793,0.0229716695712664,"DF8J_110"
"DF8J_111",-0.0101706337536483,0.0243382568594298,-0.035811620898057,-0.0325247978892768,-0.0716264747315592,0.041146074720842,0.0210993020442709,0.0170059647183134,0.110224670050671,0.0751024576048213,0.023330579175187,0.0150385991813633,0.0158599563323198,0.0452423444065498,"DF8J_111"
"DF8J_112",0.0377135873292442,-0.0553470683481603,-0.0247601345269515,0.00289181042497881,-0.0028612564443906,0.0268420021191544,0.0314125209410623,-0.0510824836665627,-0.0182720816295302,0.0203477081326162,-0.0289960006657026,0.0238928161464703,-0.0336259047004294,-0.0288063341421948,"DF8J_112"
